Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_898,2.35096E+11,ABCDE8451F,2,47546,No,1,182892,Employed,60,No Property,315191,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_320,8.39362E+11,ABCDE9178F,5,57023,No,2,130150,Employed,38,No Property,115833,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_558,9.34014E+11,ABCDE7880F,5,32202,Yes,0,185640,Employed,70,Own,182521,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_492,2.62514E+11,ABCDE1309F,1,81951,No,2,254240,Self-Employed,39,Rent,338426,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
Person_274,8.38718E+11,ABCDE8905F,4,8590,No,0,27869,Employed,68,No Property,95035,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_389,9.74833E+11,ABCDE4254F,3,58528,No,0,114021,Employed,43,No Property,120163,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_335,6.66986E+11,ABCDE5637F,3,23555,No,2,30941,Employed,75,Rent,124829,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_315,5.5613E+11,ABCDE6255F,4,86688,Yes,1,110509,Unemployed,43,Own,76758,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_584,4.26697E+11,ABCDE1930F,2,38100,No,1,291814,Employed,65,No Property,230997,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_649,2.88226E+11,ABCDE5224F,4,97718,No,1,83528,Self-Employed,63,Rent,78594,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_264,9.79401E+11,ABCDE1455F,2,6117,Yes,2,293351,Employed,64,Own,361376,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_77,1.07564E+11,ABCDE9030F,4,51083,Yes,0,160902,Unemployed,29,Rent,123626,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_509,3.07489E+11,ABCDE8025F,0,40488,No,0,86745,Employed,34,No Property,41844,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_766,7.8969E+11,ABCDE8099F,3,99223,No,1,62142,Employed,58,Rent,21464,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_914,1.39036E+11,ABCDE7133F,1,73501,No,0,164616,Employed,67,Rent,220944,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_91,2.83509E+11,ABCDE2546F,4,77217,No,2,110384,Unemployed,61,No Property,24475,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_756,9.51294E+11,ABCDE2882F,4,89339,No,0,262700,Employed,48,Own,318335,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_445,5.01081E+11,ABCDE3882F,5,86869,No,0,266437,Employed,20,Rent,111243,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_756,5.80838E+11,ABCDE4760F,5,42039,No,0,39847,Self-Employed,32,Own,33156,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_340,6.04111E+11,ABCDE6529F,0,73364,Yes,1,92257,Self-Employed,39,No Property,84218,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_172,4.08688E+11,ABCDE6076F,4,20507,Yes,2,263915,Self-Employed,44,Own,254808,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_520,9.84023E+11,ABCDE9304F,5,49427,No,2,256093,Self-Employed,75,Rent,167750,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_300,1.75571E+11,ABCDE5191F,1,98348,No,0,206256,Employed,61,No Property,309495,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_746,1.46566E+11,ABCDE7228F,0,27771,Yes,2,293759,Unemployed,34,No Property,329712,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
Person_568,4.9115E+11,ABCDE7209F,2,61964,Yes,0,153275,Employed,48,No Property,329407,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_278,1.2341E+11,ABCDE1516F,2,8751,Yes,1,220091,Unemployed,61,Rent,347819,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_988,7.91972E+11,ABCDE3758F,1,60653,Yes,2,90181,Employed,20,Rent,41660,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_713,5.74895E+11,ABCDE6352F,1,74025,Yes,2,94251,Self-Employed,25,Rent,90872,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_622,5.62171E+11,ABCDE3738F,0,85517,Yes,1,66701,Employed,73,Rent,45070,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_874,2.80261E+11,ABCDE5027F,3,67969,No,0,137954,Self-Employed,24,Rent,95711,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_296,8.30924E+11,ABCDE1922F,2,57943,No,0,86740,Employed,28,Rent,31844,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_884,5.40071E+11,ABCDE1676F,4,59950,Yes,2,78901,Employed,27,Rent,71789,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_434,7.66936E+11,ABCDE8169F,2,63659,Yes,0,185142,Employed,41,Rent,303280,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_361,4.83071E+11,ABCDE9891F,3,67622,No,1,193005,Employed,33,Own,277484,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_132,8.88032E+11,ABCDE8218F,4,32793,No,2,283315,Employed,35,Own,154421,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_382,5.6138E+11,ABCDE2968F,3,65982,No,2,240740,Employed,33,Rent,204790,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
Person_598,5.63157E+11,ABCDE3661F,3,19834,Yes,2,42050,Employed,44,Rent,51623,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_572,3.0473E+11,ABCDE5985F,2,16497,Yes,1,89325,Self-Employed,44,No Property,65425,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
