Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_205,464902369678,ABCDE3874F,4,92090,No,1,221519,Employed,67,Own,273142,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_846,883779739557,ABCDE7706F,3,77775,Yes,2,183202,Employed,40,No Property,140952,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_724,616082960249,ABCDE1687F,5,96665,Yes,2,53765,Self-Employed,61,Own,26812,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_322,959829705648,ABCDE5560F,4,31476,No,1,179123,Self-Employed,31,Own,100893,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_966,987236430356,ABCDE1788F,2,26350,No,0,278151,Employed,20,Rent,253130,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_631,196129337900,ABCDE8543F,0,80764,Yes,0,265597,Self-Employed,73,Rent,332633,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_851,888599403960,ABCDE2325F,1,33369,Yes,1,30157,Unemployed,72,No Property,57617,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_876,388256107261,ABCDE5350F,1,51079,No,1,174645,Self-Employed,44,Own,215527,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_700,147619130164,ABCDE4835F,0,84573,Yes,2,53108,Unemployed,30,Own,112564,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_240,314625493603,ABCDE3286F,1,72229,No,2,72766,Employed,37,Own,126136,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
Person_273,130525763091,ABCDE7149F,1,60394,No,0,169868,Employed,71,No Property,242200,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_528,154605184484,ABCDE1307F,3,84322,No,0,200893,Unemployed,51,Own,211695,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_654,535301595443,ABCDE8888F,2,22704,Yes,1,34280,Employed,19,Rent,72528,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_576,375980828217,ABCDE7723F,4,11136,Yes,1,236951,Employed,55,No Property,214241,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_881,306408361562,ABCDE6728F,3,13573,No,2,270049,Employed,74,No Property,140556,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_658,224804804095,ABCDE2354F,5,6713,No,0,202510,Employed,25,No Property,204233,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_69,947080568452,ABCDE8034F,5,53048,Yes,0,57257,Employed,41,No Property,131221,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_309,236689068984,ABCDE4020F,0,35564,Yes,1,162710,Unemployed,56,No Property,331208,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
