Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_500,808286814139,ABCDE9056F,1,57386,Yes,0,32178,Unemployed,70,Rent,81055,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_710,493611872540,ABCDE4690F,2,71521,Yes,0,99852,Unemployed,32,No Property,139670,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_291,546288319590,ABCDE9744F,2,50910,Yes,1,100878,Self-Employed,40,Rent,53105,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_500,149594252100,ABCDE6708F,3,37733,Yes,1,212968,Self-Employed,48,Rent,352225,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_955,412584283884,ABCDE8051F,1,76873,Yes,0,156264,Employed,53,No Property,336976,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_88,700693068404,ABCDE5655F,4,93940,No,1,161644,Self-Employed,39,Own,145339,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_813,214187853060,ABCDE7463F,3,30600,Yes,0,146988,Unemployed,70,Own,47915,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_613,593283214289,ABCDE8891F,3,27303,Yes,2,196836,Employed,20,No Property,135884,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_591,218042537703,ABCDE3120F,2,30605,No,0,275106,Employed,55,No Property,273480,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_821,941664922503,ABCDE8871F,5,74698,No,1,243543,Employed,56,No Property,119646,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_747,344714064506,ABCDE9375F,1,24427,Yes,2,257216,Employed,37,No Property,346182,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_528,516421157082,ABCDE7680F,5,34539,No,0,221106,Self-Employed,57,No Property,390308,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_497,135897218577,ABCDE3872F,3,7365,Yes,1,152926,Self-Employed,35,Rent,382656,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_650,293860385846,ABCDE6930F,3,35637,Yes,2,72986,Employed,45,Rent,111347,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_528,486178303675,ABCDE2589F,0,51410,Yes,2,90167,Employed,18,Rent,72411,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_741,670628837512,ABCDE8945F,1,95117,Yes,1,175977,Self-Employed,25,Own,274893,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_214,224804526545,ABCDE8236F,2,71158,Yes,2,206471,Unemployed,75,Rent,373381,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
